,PLAYER,TEAM,AGE,games played,W,L,avg minutes per game,PTS,FGM (field goals made AKA num baskets made),FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year
1,A'ja Wilson,LVA,28,38,26,12,34.4,26.9,10.1,19.6,51.8,0.5,1.6,31.7,6.1,7.2,84.4,2.1,9.8,11.9,2.3,1.3,1.8,2.6,1.8,50.3,23,0,4.6,2024
2,Arike Ogunbowale,DAL,27,38,9,29,38.6,22.2,7.3,19.2,38.3,2.9,8.5,34.6,4.6,5,92.1,0.8,3.8,4.6,5.1,2.7,2.1,0.3,2.8,39.7,2,0,-6.6,2024
3,Kahleah Copper,PHO,30,37,17,20,32.3,21.1,7.4,17,43.5,1.9,5.9,31.4,4.5,5.6,80.7,0.6,3.9,4.5,2.3,3,0.8,0.1,3.3,31.5,1,0,-3.1,2024
4,Breanna Stewart,NYL,30,38,30,8,32.7,20.4,7,15.2,45.8,1.2,4.1,29.5,5.3,6.3,84.5,1.6,6.9,8.5,3.5,1.7,1.7,1.3,2.1,39.6,16,0,7.9,2024
5,Napheesa Collier,MIN,28,34,27,7,34.7,20.4,7.9,16,49.2,0.9,2.9,31,3.7,4.6,80.4,2.2,7.5,9.7,3.4,2.1,1.9,1.4,2.6,41.1,18,0,9.2,2024
6,Jewell Loyd,SEA,31,37,23,14,33.7,19.7,6.1,16.8,36,1.6,5.8,27.4,6,6.8,88.1,0.7,3.8,4.5,3.6,2.3,1.4,0.2,1.8,32.7,2,0,5.4,2024
7,Caitlin Clark,IND,22,40,20,20,35.4,19.2,6.1,14.5,41.7,3.1,8.9,34.4,4.1,4.5,90.6,0.4,5.3,5.7,8.4,5.6,1.3,0.7,2.8,40.4,14,2,-1.6,2024
8,Kelsey Mitchell,IND,28,40,20,20,32,19.2,7.1,15.1,46.8,2.7,6.8,40.2,2.4,2.8,83.2,0.7,1.8,2.5,1.8,1.6,0.7,0.2,1.6,27.9,0,0,-1.7,2024
9,Sabrina Ionescu,NYL,26,38,30,8,32.1,18.2,6.3,15.9,39.4,2.8,8.4,33.3,2.8,3.1,89.8,0.7,3.7,4.4,6.2,2.7,1,0.3,1.2,34.3,3,0,7.4,2024
10,Satou Sabally,DAL,26,15,3,12,34.2,17.9,5.9,13.9,42.6,2.5,5.6,45.2,3.5,4.5,77.9,1.2,5.2,6.4,5,2.5,1.3,0.5,3.2,35.5,0,0,-3.5,2024
11,Kelsey Plum,LVA,30,38,25,13,34,17.8,6.1,14.4,42.3,2.9,7.9,36.8,2.7,3.1,86.6,0.3,2.3,2.6,4.2,2.4,0.7,0,2.7,28.9,0,0,5.6,2024
12,Brittney Griner,PHO,34,30,15,15,28.7,17.8,7.3,12.6,57.9,0.3,0.6,50,2.9,3.7,77.7,1.8,4.8,6.6,2.3,1.8,0.5,1.5,1.9,31.1,2,0,0.1,2024
13,Natasha Howard,DAL,33,27,7,20,30.5,17.6,6.9,15.2,45.6,0.4,2,20,3.3,4.6,71.8,2,4.8,6.7,2.9,2.8,1.3,0.8,3.1,31.7,4,0,-5.6,2024
14,Chennedy Carter,CHI,25,33,13,20,26,17.5,7.2,14.8,48.7,0.3,0.9,29,2.8,3.8,73,0.7,2.9,3.5,3.1,1.7,1.1,0.2,3.2,26.9,0,0,0.1,2024
15,Rhyne Howard,ATL,24,30,14,16,33.9,17.3,5.6,15,37.1,2.7,8.1,32.9,3.5,4.5,78.4,0.8,3.5,4.4,3.1,1.7,1.8,0.6,2.1,32.3,2,0,1,2024
16,Dearica Hamby,LAS,31,40,8,32,33.7,17.3,6.7,13.1,51.2,0.8,2.2,34.1,3.1,5,63.1,1.5,7.7,9.2,3.5,3,1.7,0.2,2.8,34.5,16,0,-6.9,2024
17,Nneka Ogwumike,SEA,34,37,23,14,31.8,16.7,6.8,13.3,51.1,0.8,2,40.5,2.3,2.6,87.6,1.9,5.7,7.6,2.3,1.3,1.9,0.5,2.3,32.2,8,0,6,2024
18,Jackie Young,LVA,27,37,25,12,32.6,15.8,5.4,12.6,43,1.9,5.6,33.7,3,3.5,86.7,0.7,3.6,4.4,5.3,2.1,1,0.2,2.5,29.8,5,0,4.1,2024
19,Allisha Gray,ATL,29,40,15,25,33.2,15.6,5.1,12.7,40.3,1.7,5.1,34.2,3.6,4.7,76.9,1.1,3.3,4.4,2.7,1.7,1.1,0.7,2.4,27.9,1,0,-0.5,2024
