,Variables,Loadings X,Loadings Y
0,AGE,0.03676086853684171,0.0818247355278987
1,games played,0.13691797948045067,0.011629004540685132
2,avg minutes per game,0.2747723438061088,0.0573023718103833
3,PTS,0.2795123892070667,0.07959275249396588
4,FGM (field goals made AKA num baskets made),0.2756402134525902,0.03368381236686531
5,FGA,0.27180577739619316,0.09618218112827849
6,FG%,0.13577136153646713,-0.1261864487005696
7,3PM,0.1496662602828405,0.3934003553182836
8,3PA,0.1491617720407266,0.38957443606238656
9,3P%,0.0853477923339242,0.2882224442178787
10,FTM,0.24312811281459168,0.01938390335249075
11,FTA,0.24549082573496964,-0.01950372454044265
12,FT%,0.14949995405203537,0.14069024504869296
13,OREB,0.14479011114466128,-0.3933246668349813
14,DREB,0.23278860144431318,-0.2427710859218325
15,REB,0.22427528106848857,-0.30618887217556495
16,AST,0.20248161502133916,0.1987622977798967
17,TOV,0.2443554544775962,0.07653212968649874
18,STL,0.22835788392823475,0.041695604591006234
19,BLK,0.12392868348821212,-0.3475162814154034
20,PF,0.21676287205853711,-0.09982763024839486
21,FP,0.2908311223580461,0.004914112747940824
22,DD2,0.17997083525751223,-0.24753285308498615
23,TD3,0.0,-0.0
24,+/-,0.08184165614458895,-0.023717118198587378
